Item,Fixation,Prime,Mask,Target,Corr_response,Related,Block_Name,Target_cat
1,+,dragon,&&&&&&&&&&,monster,1,1,PRACTICE,???
2,+,infant,&&&&&&&&&&,baby,1,1,PRACTICE,???
3,+,storm,&&&&&&&&&&,cloud,1,1,PRACTICE,???
4,+,water,&&&&&&&&&&,sprinkler,1,1,PRACTICE,???
5,+,movie,&&&&&&&&&&,purpose,2,0,PRACTICE,ABSTRACT
6,+,tree,&&&&&&&&&&,sin,2,0,PRACTICE,ABSTRACT
7,+,brain,&&&&&&&&&&,idea,2,0,PRACTICE,ABSTRACT
8,+,rock,&&&&&&&&&&,envy,2,0,PRACTICE,ABSTRACT
9,+,truck,&&&&&&&&&&,car,1,1,TEST,VEHICLE
10,+,ambulance,&&&&&&&&&&,van,1,1,TEST,VEHICLE
11,+,eagle,&&&&&&&&&&,helicopter,1,0,TEST,VEHICLE
12,+,boots,&&&&&&&&&&,sailboat,1,0,TEST,VEHICLE
13,+,asparagus,&&&&&&&&&&,bike,1,0,TEST,VEHICLE
14,+,arrow,&&&&&&&&&&,motorcycle,1,0,TEST,VEHICLE
15,+,lamb,&&&&&&&&&&,trolley,1,0,TEST,VEHICLE
16,+,cranberry,&&&&&&&&&&,taxi,1,0,TEST,VEHICLE
17,+,elephant,&&&&&&&&&&,giraffe,1,1,TEST,MAMMAL
18,+,cat,&&&&&&&&&&,dog,1,1,TEST,MAMMAL
19,+,screws,&&&&&&&&&&,horse,1,0,TEST,MAMMAL
20,+,woodpecker,&&&&&&&&&&,donkey,1,0,TEST,MAMMAL
21,+,skirt,&&&&&&&&&&,lion,1,0,TEST,MAMMAL
22,+,garlic,&&&&&&&&&&,cow,1,0,TEST,MAMMAL
23,+,missile,&&&&&&&&&&,sheep,1,0,TEST,MAMMAL
24,+,bus,&&&&&&&&&&,raccoon,1,0,TEST,MAMMAL
25,+,sword,&&&&&&&&&&,knife,1,1,TEST,WEAPON
26,+,spear,&&&&&&&&&&,slingshot,1,1,TEST,WEAPON
27,+,pineapple,&&&&&&&&&&,cannon,1,0,TEST,WEAPON
28,+,pencil,&&&&&&&&&&,club,1,0,TEST,WEAPON
29,+,seagull,&&&&&&&&&&,rifle,1,0,TEST,WEAPON
30,+,swimsuit,&&&&&&&&&&,bow,1,0,TEST,WEAPON
31,+,cabbage,&&&&&&&&&&,bomb,1,0,TEST,WEAPON
32,+,skunk,&&&&&&&&&&,whip,1,0,TEST,WEAPON
33,+,carrot,&&&&&&&&&&,celery,1,1,TEST,VEGETABLE
34,+,cauliflower,&&&&&&&&&&,broccoli,1,1,TEST,VEGETABLE
35,+,airplane,&&&&&&&&&&,radish,1,0,TEST,VEGETABLE
36,+,raspberry,&&&&&&&&&&,potato,1,0,TEST,VEGETABLE
37,+,screwdriver,&&&&&&&&&&,peas,1,0,TEST,VEGETABLE
38,+,penguin,&&&&&&&&&&,onions,1,0,TEST,VEGETABLE
39,+,jeans,&&&&&&&&&&,lettuce,1,0,TEST,VEGETABLE
40,+,hatchet,&&&&&&&&&&,pepper,1,0,TEST,VEGETABLE
41,+,vest,&&&&&&&&&&,jacket,1,1,TEST,CLOTHING
42,+,sandals,&&&&&&&&&&,slippers,1,1,TEST,CLOTHING
43,+,zebra,&&&&&&&&&&,scarf,1,0,TEST,CLOTHING
44,+,canoe,&&&&&&&&&&,shoes,1,0,TEST,CLOTHING
45,+,plum,&&&&&&&&&&,sweater,1,0,TEST,CLOTHING
46,+,rake,&&&&&&&&&&,coat,1,0,TEST,CLOTHING
47,+,stork,&&&&&&&&&&,pants,1,0,TEST,CLOTHING
48,+,spinach,&&&&&&&&&&,socks,1,0,TEST,CLOTHING
49,+,turkey,&&&&&&&&&&,chicken,1,1,TEST,BIRD
50,+,canary,&&&&&&&&&&,parakeet,1,1,TEST,BIRD
51,+,grenade,&&&&&&&&&&,hawk,1,0,TEST,BIRD
52,+,camel,&&&&&&&&&&,peacock,1,0,TEST,BIRD
53,+,scooter,&&&&&&&&&&,duck,1,0,TEST,BIRD
54,+,orange,&&&&&&&&&&,ostrich,1,0,TEST,BIRD
55,+,axe,&&&&&&&&&&,swan,1,0,TEST,BIRD
56,+,belt,&&&&&&&&&&,crow,1,0,TEST,BIRD
57,+,shovel,&&&&&&&&&&,spade,1,1,TEST,TOOL
58,+,pliers,&&&&&&&&&&,wrench,1,1,TEST,TOOL
59,+,cucumber,&&&&&&&&&&,drill,1,0,TEST,TOOL
60,+,bat,&&&&&&&&&&,scissors,1,0,TEST,TOOL
61,+,cheetah,&&&&&&&&&&,hammer,1,0,TEST,TOOL
62,+,tractor,&&&&&&&&&&,hoe,1,0,TEST,TOOL
63,+,honeydew,&&&&&&&&&&,chisel,1,0,TEST,TOOL
64,+,raven,&&&&&&&&&&,crowbar,1,0,TEST,TOOL
65,+,banana,&&&&&&&&&&,strawberry,1,1,TEST,FRUIT
66,+,lime,&&&&&&&&&&,lemon,1,1,TEST,FRUIT
67,+,mittens,&&&&&&&&&&,coconut,1,0,TEST,FRUIT
68,+,turnip,&&&&&&&&&&,cherry,1,0,TEST,FRUIT
69,+,shotgun,&&&&&&&&&&,prune,1,0,TEST,FRUIT
70,+,buffalo,&&&&&&&&&&,grapefruit,1,0,TEST,FRUIT
71,+,subway,&&&&&&&&&&,cantaloupe,1,0,TEST,FRUIT
72,+,sledgehammer,&&&&&&&&&&,apple,1,0,TEST,FRUIT
73,+,rocket,&&&&&&&&&&,pride,2,0,TEST,ABSTRACT
74,+,limousine,&&&&&&&&&&,decision,2,0,TEST,ABSTRACT
75,+,yacht,&&&&&&&&&&,approval,2,0,TEST,ABSTRACT
76,+,boat,&&&&&&&&&&,sympathy,2,0,TEST,ABSTRACT
77,+,train,&&&&&&&&&&,manner,2,0,TEST,ABSTRACT
78,+,jet,&&&&&&&&&&,blame,2,0,TEST,ABSTRACT
79,+,ship,&&&&&&&&&&,chaos,2,0,TEST,ABSTRACT
80,+,jeep,&&&&&&&&&&,loyalty,2,0,TEST,ABSTRACT
81,+,gorilla,&&&&&&&&&&,advice,2,0,TEST,ABSTRACT
82,+,otter,&&&&&&&&&&,anxiety,2,0,TEST,ABSTRACT
83,+,hamster,&&&&&&&&&&,excitement,2,0,TEST,ABSTRACT
84,+,moose,&&&&&&&&&&,good,2,0,TEST,ABSTRACT
85,+,tiger,&&&&&&&&&&,truth,2,0,TEST,ABSTRACT
86,+,beaver,&&&&&&&&&&,quality,2,0,TEST,ABSTRACT
87,+,rat,&&&&&&&&&&,dignity,2,0,TEST,ABSTRACT
88,+,deer,&&&&&&&&&&,innocence,2,0,TEST,ABSTRACT
89,+,bayonet,&&&&&&&&&&,purpose,2,0,TEST,ABSTRACT
90,+,bullet,&&&&&&&&&&,sin,2,0,TEST,ABSTRACT
91,+,shield,&&&&&&&&&&,idea,2,0,TEST,ABSTRACT
92,+,catapult,&&&&&&&&&&,envy,2,0,TEST,ABSTRACT
93,+,harpoon,&&&&&&&&&&,ego,2,0,TEST,ABSTRACT
94,+,gun,&&&&&&&&&&,ability,2,0,TEST,ABSTRACT
95,+,armor,&&&&&&&&&&,belief,2,0,TEST,ABSTRACT
96,+,tank,&&&&&&&&&&,magic,2,0,TEST,ABSTRACT
97,+,artichoke,&&&&&&&&&&,guess,2,0,TEST,ABSTRACT
98,+,zucchini,&&&&&&&&&&,hatred,2,0,TEST,ABSTRACT
99,+,beets,&&&&&&&&&&,difference,2,0,TEST,ABSTRACT
100,+,kale,&&&&&&&&&&,concept,2,0,TEST,ABSTRACT
101,+,okra,&&&&&&&&&&,honor,2,0,TEST,ABSTRACT
102,+,eggplant,&&&&&&&&&&,attitude,2,0,TEST,ABSTRACT
103,+,parsley,&&&&&&&&&&,rule,2,0,TEST,ABSTRACT
104,+,chard,&&&&&&&&&&,spirit,2,0,TEST,ABSTRACT
105,+,nightgown,&&&&&&&&&&,harm,2,0,TEST,ABSTRACT
106,+,shirt,&&&&&&&&&&,fun,2,0,TEST,ABSTRACT
107,+,dress,&&&&&&&&&&,respect,2,0,TEST,ABSTRACT
108,+,cloak,&&&&&&&&&&,theory,2,0,TEST,ABSTRACT
109,+,pajamas,&&&&&&&&&&,heroism,2,0,TEST,ABSTRACT
110,+,blouse,&&&&&&&&&&,guilt,2,0,TEST,ABSTRACT
111,+,gown,&&&&&&&&&&,greed,2,0,TEST,ABSTRACT
112,+,robe,&&&&&&&&&&,opinion,2,0,TEST,ABSTRACT
113,+,dove,&&&&&&&&&&,freedom,2,0,TEST,ABSTRACT
114,+,robin,&&&&&&&&&&,shame,2,0,TEST,ABSTRACT
115,+,falcon,&&&&&&&&&&,misery,2,0,TEST,ABSTRACT
116,+,finch,&&&&&&&&&&,hope,2,0,TEST,ABSTRACT
117,+,pigeon,&&&&&&&&&&,effort,2,0,TEST,ABSTRACT
118,+,sparrow,&&&&&&&&&&,experience,2,0,TEST,ABSTRACT
119,+,vulture,&&&&&&&&&&,mercy,2,0,TEST,ABSTRACT
120,+,chickadee,&&&&&&&&&&,knowledge,2,0,TEST,ABSTRACT
121,+,level,&&&&&&&&&&,emotion,2,0,TEST,ABSTRACT
122,+,saw,&&&&&&&&&&,passion,2,0,TEST,ABSTRACT
123,+,clamp,&&&&&&&&&&,dread,2,0,TEST,ABSTRACT
124,+,bolts,&&&&&&&&&&,wisdom,2,0,TEST,ABSTRACT
125,+,microscope,&&&&&&&&&&,fate,2,0,TEST,ABSTRACT
126,+,sandpaper,&&&&&&&&&&,moral,2,0,TEST,ABSTRACT
127,+,wheelbarrow,&&&&&&&&&&,courage,2,0,TEST,ABSTRACT
128,+,tack,&&&&&&&&&&,virtue,2,0,TEST,ABSTRACT
129,+,tangerine,&&&&&&&&&&,joy,2,0,TEST,ABSTRACT
130,+,grape,&&&&&&&&&&,feeling,2,0,TEST,ABSTRACT
131,+,peach,&&&&&&&&&&,scorn,2,0,TEST,ABSTRACT
132,+,mango,&&&&&&&&&&,soul,2,0,TEST,ABSTRACT
133,+,nectarine,&&&&&&&&&&,trust,2,0,TEST,ABSTRACT
134,+,raisin,&&&&&&&&&&,confusion,2,0,TEST,ABSTRACT
135,+,blueberry,&&&&&&&&&&,wish,2,0,TEST,ABSTRACT
136,+,tangerine,&&&&&&&&&&,luck,2,0,TEST,ABSTRACT
